year,state,state_cd,latitude,longitude,plan_type,tot_clms,tot_opioid_clms,opioid_prscrbng_rate,opioid_prscrbng_rate_1y_chg,opioid_prscrbng_rate_5y_chg,la_tot_opioid_clms,la_opioid_prscrbng_rate,la_opioid_prscrbng_rate_1y_chg,la_opioid_prscrbng_rat_5y_chg
2020,Alabama,1,32.377716,-86.300568,All,6750173,182840,2.71,-0.39,-2.92,8438,4.62,0.02,-0.16
2020,Alaska,2,58.301598,-134.420212,All,1332333,57160,4.29,-0.27,-3.32,7269,12.72,0.08,0.4
2020,Arizona,4,33.448143,-112.096962,All,13520919,496944,3.68,-0.31,-4.11,35666,7.18,-0.26,-3.21
2020,Arkansas,5,34.746613,-92.288986,All,4723341,183044,3.88,-0.44,-3.13,6304,3.44,-0.32,-1.35
2020,California,6,38.576668,-121.493629,All,75111185,2254586,3,-0.2,-2.59,140342,6.22,-0.08,-0.29
2020,Colorado,8,39.739227,-104.984856,All,7484249,387088,5.17,-0.37,-5.04,37849,9.78,0.52,1.06
2020,Connecticut,9,41.764046,-72.682198,All,8887381,254508,2.86,-0.32,-3.23,22943,9.01,1.2,-0.85
2020,Delaware,10,39.157307,-75.519722,All,2615506,66958,2.56,-0.68,-3.74,10906,16.29,0.38,0.52
2020,District of Columbia,11,38.89511,-77.03637,All,1824417,45008,2.47,-0.31,-2.35,1958,4.35,0.35,-1.56
2020,Florida,12,30.438118,-84.281296,All,25284819,659902,2.61,0.02,-2.42,52032,7.88,0.74,-1.41
2020,Georgia,13,33.749027,-84.388229,All,14235046,509429,3.58,-0.28,-2.69,28690,5.63,-0.27,0.56
2020,Hawaii,15,21.307442,-157.857376,All,2062009,76966,3.73,-0.18,-3.02,6049,7.86,-1.31,-3.15
2020,Idaho,16,43.617775,-116.199722,All,3388471,132144,3.9,0.28,-2.95,8694,6.58,-1.35,-3.62
2020,Illinois,17,39.798363,-89.654961,All,20567215,623694,3.03,-0.28,-3.05,15843,2.54,-0.68,-1.33
2020,Indiana,18,39.768623,-86.162643,All,14969768,524951,3.51,-0.16,-3.57,28451,5.42,-0.33,-1.59
2020,Iowa,19,41.591087,-93.603729,All,5865300,381930,6.51,1.74,0.64,242716,63.55,10.54,56.68
2020,Kansas,20,39.048191,-95.677956,All,2492042,78436,3.15,-0.16,-3.19,5265,6.71,-1.02,-3.67
2020,Kentucky,21,38.186722,-84.875374,All,20956922,585012,2.79,-0.2,-1.28,15942,2.73,0.01,-0.47
2020,Louisiana,22,30.457069,-91.187393,All,18829229,559721,2.97,-0.29,-2.44,13239,2.37,0.06,-1.16
2020,Maine,23,44.307167,-69.781693,All,2440641,75591,3.1,-0.31,-2.71,10113,13.38,-0.67,-1.23
2020,Maryland,24,38.978764,-76.490936,All,13050375,468170,3.59,-0.19,-3.01,45594,9.74,-0.63,-1.91
2020,Massachusetts,25,42.358162,-71.063698,All,15977490,342948,2.15,-0.1,-2.76,31542,9.2,-0.39,0.47
2020,Michigan,26,42.733635,-84.555328,All,25673248,892543,3.48,-0.31,-4.55,44671,5,-0.64,-1.26
2020,Minnesota,27,44.955097,-93.102211,All,11374555,309614,2.72,-0.09,-3.02,25295,8.17,0.24,0.03
2020,Mississippi,28,32.303848,-90.182106,All,4857013,161067,3.32,-0.36,-3.57,6933,4.3,-0.39,0.27
2020,Missouri,29,38.579201,-92.172935,All,10581478,308392,2.91,-0.33,-3.07,20919,6.78,-1.14,-2.35
2020,Montana,30,46.585709,-112.018417,All,2948475,287557,9.75,-0.1,2.24,181029,62.95,2.69,51.71
2020,Nebraska,31,40.808075,-96.699654,All,2219070,70270,3.17,0.06,-2.54,7316,10.41,-1.3,0.25
2020,Nevada,32,39.163914,-119.766121,All,6282398,282896,4.5,-0.15,-4.38,23165,8.19,-0.29,-0.78
2020,New Hampshire,33,43.206898,-71.537994,All,2025792,46622,2.3,-0.26,-3.85,6079,13.04,-1.01,0.83
2020,New Jersey,34,40.220596,-74.769913,All,16188810,409880,2.53,-0.11,-2.35,33272,8.12,-0.26,-0.17
2020,New Mexico,35,35.68224,-105.939728,All,4528352,158431,3.5,-0.53,-3.42,4899,3.09,-0.53,-1.48
2020,New York,36,42.652843,-73.757874,All,59582131,955737,1.6,-0.14,-1.63,71011,7.43,-0.46,-1.37
2020,North Carolina,37,35.78043,-78.639099,All,13909805,456500,3.28,-0.07,-3.77,51604,11.3,-0.12,1.98
2020,North Dakota,38,46.82085,-100.783318,All,939676,27709,2.95,-0.17,-3.98,829,2.99,-0.18,-4.96
2020,Ohio,39,39.961346,-82.999069,All,36512707,890694,2.44,-0.08,-3.71,42867,4.81,-0.34,-0.29
2020,Oklahoma,40,35.492207,-97.503342,All,4989310,212249,4.25,-0.17,-3.38,16657,7.85,-0.23,-0.61
2020,Oregon,41,44.938461,-123.030403,All,9139066,358027,3.92,-0.24,-4.56,42035,11.74,1.03,3.98
2020,Pennsylvania,42,40.264378,-76.883598,All,27225633,435571,1.6,-0.31,-4.41,42648,9.79,0.07,1.13
2020,Rhode Island,44,41.830914,-71.414963,All,3080769,65810,2.14,-0.11,-2.74,5626,8.55,0.4,2.07
2020,South Carolina,45,34.000343,-81.033211,All,6146916,142423,2.32,-0.44,-4.22,10978,7.71,0.45,1.36
