year,state,state_cd,latitude,longitude,plan_type,tot_clms,tot_opioid_clms,opioid_prscrbng_rate,opioid_prscrbng_rate_1y_chg,opioid_prscrbng_rate_5y_chg,la_tot_opioid_clms,la_opioid_prscrbng_rate,la_opioid_prscrbng_rate_1y_chg,la_opioid_prscrbng_rat_5y_chg
2020,Alabama,1,32.377716,-86.300568,FFS,6750173,182840,2.71,-0.39,-2.92,8438,4.62,0.02,-0.16
2020,Alaska,2,58.301598,-134.420212,FFS,1332333,57160,4.29,-0.27,-3.32,7269,12.72,0.08,0.4
2020,Arizona,4,33.448143,-112.096962,FFS,185863,9004,4.84,-1.55,-10.52,578,6.42,0.37,-2.31
2020,Arkansas,5,34.746613,-92.288986,FFS,3819134,169728,4.44,-0.35,-2.57,5929,3.49,-0.3,-1.3
2020,California,6,38.576668,-121.493629,FFS,19977145,528161,2.64,-0.32,-2.59,51850,9.82,0.89,1.99
2020,Colorado,8,39.739227,-104.984856,FFS,7003234,370073,5.28,-0.35,-4.93,36347,9.82,0.52,1.1
2020,Connecticut,9,41.764046,-72.682198,FFS,8887381,254508,2.86,-0.32,-3.23,22943,9.01,1.2,-0.85
2020,Delaware,10,39.157307,-75.519722,FFS,35130,688,1.96,0.19,-3.15,50,7.27,2.95,-3.74
2020,District of Columbia,11,38.89511,-77.03637,FFS,692856,17875,2.58,-0.39,-2.73,1206,6.75,0.13,-3.37
2020,Florida,12,30.438118,-84.281296,FFS,1323777,19621,1.48,0.13,-1.68,1652,8.42,0.22,0.41
2020,Georgia,13,33.749027,-84.388229,FFS,6844946,307566,4.49,-0.48,-2.61,24499,7.97,-0.78,0.2
2020,Hawaii,15,21.307442,-157.857376,FFS,3903,514,13.17,-0.61,-6.51,,,,
2020,Idaho,16,43.617775,-116.199722,FFS,3388471,132144,3.9,0.28,-2.95,8694,6.58,-1.35,-3.62
2020,Illinois,17,39.798363,-89.654961,FFS,1596914,31208,1.95,-0.05,-4.02,821,2.63,-0.21,-1.06
2020,Indiana,18,39.768623,-86.162643,FFS,2078333,44677,2.15,-0.16,-2.88,3840,8.6,0.28,0.67
2020,Iowa,19,41.591087,-93.603729,FFS,128812,6337,4.92,-0.04,-1,3505,55.31,16.77,48.44
2020,Kansas,20,39.048191,-95.677956,FFS,11969,130,1.09,-0.51,-1.78,0,0,-5.14,-9.74
2020,Kentucky,21,38.186722,-84.875374,FFS,1475404,26235,1.78,0.43,-0.84,998,3.8,-2.34,-7.63
2020,Louisiana,22,30.457069,-91.187393,FFS,740784,6304,0.85,-0.12,-2.65,519,8.23,-0.65,3.18
2020,Maine,23,44.307167,-69.781693,FFS,2440641,75591,3.1,-0.31,-2.71,10113,13.38,-0.67,-1.23
2020,Maryland,24,38.978764,-76.490936,FFS,4639965,19929,0.43,-0.1,-1.36,2518,12.63,1.04,-0.95
2020,Massachusetts,25,42.358162,-71.063698,FFS,7830347,164358,2.1,-0.12,-2.07,16618,10.11,-0.07,-0.12
2020,Michigan,26,42.733635,-84.555328,FFS,8421809,71187,0.85,-0.15,-1.65,4984,7,-0.92,-0.42
2020,Minnesota,27,44.955097,-93.102211,FFS,1765395,38020,2.15,-0.21,-2.73,3344,8.8,-0.25,-0.06
2020,Mississippi,28,32.303848,-90.182106,FFS,910010,23893,2.63,-0.49,-1.44,1462,6.12,-1.17,0.7
2020,Missouri,29,38.579201,-92.172935,FFS,10581478,308392,2.91,-0.33,-3.07,20919,6.78,-1.14,-2.35
2020,Montana,30,46.585709,-112.018417,FFS,2948475,287557,9.75,-0.1,2.24,181029,62.95,2.69,51.71
2020,Nebraska,31,40.808075,-96.699654,FFS,4544,62,1.36,-0.89,-4.49,,,,
2020,Nevada,32,39.163914,-119.766121,FFS,1870022,104182,5.57,-0.37,-3.58,11257,10.81,-0.57,-1.1
