year,state,state_cd,latitude,longitude,plan_type,tot_clms,tot_opioid_clms,opioid_prscrbng_rate,opioid_prscrbng_rate_1y_chg,opioid_prscrbng_rate_5y_chg,la_tot_opioid_clms,la_opioid_prscrbng_rate,la_opioid_prscrbng_rate_1y_chg,la_opioid_prscrbng_rat_5y_chg
2020,Alabama,1,32.377716,-86.300568,MC,0,0,,,,0,,,
2020,Alaska,2,58.301598,-134.420212,MC,0,0,,,,0,,,
2020,Arizona,4,33.448143,-112.096962,MC,13335056,487940,3.66,-0.3,-4.06,35088,7.19,-0.28,-3.23
2020,Arkansas,5,34.746613,-92.288986,MC,904207,13316,1.47,-0.19,,375,2.82,-0.54,
2020,California,6,38.576668,-121.493629,MC,55134040,1726425,3.13,-0.15,-2.62,88492,5.13,-0.33,-0.85
2020,Colorado,8,39.739227,-104.984856,MC,481015,17015,3.54,-0.7,,1502,8.83,0.31,
2020,Connecticut,9,41.764046,-72.682198,MC,0,0,,,,0,,,
2020,Delaware,10,39.157307,-75.519722,MC,2580376,66270,2.57,-0.7,-3.79,10856,16.38,0.33,0.4
2020,District of Columbia,11,38.89511,-77.03637,MC,1131561,27133,2.4,-0.25,-2.09,752,2.77,0.74,0.26
2020,Florida,12,30.438118,-84.281296,MC,23961042,640281,2.67,0.01,-2.62,50380,7.87,0.76,-1.52
2020,Georgia,13,33.749027,-84.388229,MC,7390100,201863,2.73,-0.2,-2.81,4191,2.08,0.23,0.01
2020,Hawaii,15,21.307442,-157.857376,MC,2058106,76452,3.71,-0.17,-2.99,,,,
2020,Idaho,16,43.617775,-116.199722,MC,0,0,,,,0,,,
2020,Illinois,17,39.798363,-89.654961,MC,18970301,592486,3.12,-0.32,-3.04,15022,2.54,-0.7,-1.46
2020,Indiana,18,39.768623,-86.162643,MC,12891435,480274,3.73,-0.15,-5.48,24611,5.12,-0.39,-1.37
2020,Iowa,19,41.591087,-93.603729,MC,5736488,375593,6.55,1.79,6.53,239211,63.69,10.04,63.69
2020,Kansas,20,39.048191,-95.677956,MC,2480073,78306,3.16,-0.16,-3.2,5265,6.72,-1.01,-3.67
2020,Kentucky,21,38.186722,-84.875374,MC,19481518,558777,2.87,-0.18,-1.31,14944,2.67,0.01,-0.12
2020,Louisiana,22,30.457069,-91.187393,MC,18088445,553417,3.06,-0.29,-2.96,12720,2.3,0.07,-0.95
2020,Maine,23,44.307167,-69.781693,MC,0,0,,,,0,,,
2020,Maryland,24,38.978764,-76.490936,MC,8410410,448241,5.33,-0.07,-3.66,43076,9.61,-0.7,-1.85
2020,Massachusetts,25,42.358162,-71.063698,MC,8147143,178590,2.19,-0.08,-3.27,14924,8.36,-0.69,0.46
2020,Michigan,26,42.733635,-84.555328,MC,17251439,821356,4.76,-0.29,-6.1,39687,4.83,-0.61,-1.29
2020,Minnesota,27,44.955097,-93.102211,MC,9609160,271594,2.83,-0.07,-3.16,21951,8.08,0.33,0.11
2020,Mississippi,28,32.303848,-90.182106,MC,3947003,137174,3.48,-0.32,-4.61,5471,3.99,-0.26,0.25
2020,Missouri,29,38.579201,-92.172935,MC,0,0,,,,0,,,
2020,Montana,30,46.585709,-112.018417,MC,0,0,,,,0,,,
2020,Nebraska,31,40.808075,-96.699654,MC,2214526,70208,3.17,0.06,0.25,,,,
2020,Nevada,32,39.163914,-119.766121,MC,4412376,178714,4.05,-0.08,-4.65,11908,6.66,-0.14,-0.23
2020,New Hampshire,33,43.206898,-71.537994,MC,1989567,45790,2.3,-0.26,-3.86,5992,13.09,-1.01,0.51
2020,New Jersey,34,40.220596,-74.769913,MC,15848528,402625,2.54,-0.1,-2.33,32056,7.96,-0.19,0.23
2020,New Mexico,35,35.68224,-105.939728,MC,4250427,150677,3.55,-0.47,-3.27,4597,3.05,-0.53,-1.62
2020,New York,36,42.652843,-73.757874,MC,52976734,910754,1.72,-0.13,-1.69,65066,7.14,-0.31,-1.35
2020,North Carolina,37,35.78043,-78.639099,MC,0,0,,,,0,,,
2020,North Dakota,38,46.82085,-100.783318,MC,67882,31,0.05,-3.46,-8.66,0,0,-3.28,-7.79
2020,Ohio,39,39.961346,-82.999069,MC,33447106,824676,2.47,-0.07,-3.88,37117,4.5,-0.4,-0.2
2020,Oklahoma,40,35.492207,-97.503342,MC,0,0,,,,0,,,
2020,Oregon,41,44.938461,-123.030403,MC,6902671,346945,5.03,-0.1,-5.18,41676,12.01,1.56,4.28
2020,Pennsylvania,42,40.264378,-76.883598,MC,26738056,430113,1.61,-0.32,-4.49,42029,9.77,0.15,1.14
2020,Rhode Island,44,41.830914,-71.414963,MC,2937151,64123,2.18,-0.12,-2.82,5456,8.51,0.49,2.29
2020,South Carolina,45,34.000343,-81.033211,MC,5101686,119453,2.34,-0.51,-4.69,8827,7.39,0.38,1.26
2020,South Dakota,46,44.367031,-100.346405,MC,0,0,,,,0,,,
2020,Tennessee,47,36.16581,-86.784241,MC,1302463,138466,10.63,10.1,10.63,126645,91.46,89.99,
2020,Texas,48,30.27467,-97.740349,MC,25469211,627618,2.46,-0.01,-1.69,27651,4.41,-0.01,-0.53
2020,Utah,49,40.777477,-111.888237,MC,1501868,85208,5.67,-0.41,-4.37,8358,9.81,-1.34,-1.32
2020,Vermont,50,44.262436,-72.580536,MC,15416,50,0.32,,,,,,
2020,Virginia,51,37.538857,-77.43364,MC,18218680,2248490,12.34,2.25,6.18,1913066,85.08,5.36,77.84
2020,Washington,53,47.035805,-122.905014,MC,12640315,489043,3.87,-0.07,-3.95,38999,7.97,-0.63,-1.76
2020,West Virginia,54,38.336246,-81.612328,MC,183305,0,0,,-5.12,0,,,
2020,Wisconsin,55,43.074684,-89.384445,MC,0,0,,,,0,,,
2020,Wyoming,56,41.140259,-104.820236,MC,0,0,,,,0,,,
2019,Alabama,1,32.377716,-86.300568,MC,0,0,,,,0,,,
2019,Alaska,2,58.301598,-134.420212,MC,0,0,,,,0,,,
2019,Arizona,4,33.448143,-112.096962,MC,14769491,585377,3.96,-0.74,-5.11,43716,7.47,-0.53,-2.79
2019,Arkansas,5,34.746613,-92.288986,MC,747778,12395,1.66,,,416,3.36,,
2019,California,6,38.576668,-121.493629,MC,63603048,2087508,3.28,-0.61,-3.43,113895,5.46,-0.21,0.31
2019,Colorado,8,39.739227,-104.984856,MC,508440,21563,4.24,-1.25,,1838,8.52,0.19,
2019,Connecticut,9,41.764046,-72.682198,MC,0,0,,,,0,,,
2019,Delaware,10,39.157307,-75.519722,MC,2727832,89166,3.27,-0.93,3.27,14308,16.05,-0.77,
2019,District of Columbia,11,38.89511,-77.03637,MC,1278118,33846,2.65,-0.77,-2.15,687,2.03,0,-0.27
2019,Florida,12,30.438118,-84.281296,MC,25149367,670061,2.66,-0.68,-3.32,47644,7.11,0.05,-1.77
2019,Georgia,13,33.749027,-84.388229,MC,8399716,246492,2.93,-0.59,-2.93,4567,1.85,-0.1,-0.17
2019,Hawaii,15,21.307442,-157.857376,MC,2199789,85441,3.88,,,7898,9.24,,
2019,Idaho,16,43.617775,-116.199722,MC,0,0,,,,0,,,
2019,Illinois,17,39.798363,-89.654961,MC,22406813,771320,3.44,-0.5,-2.07,24980,3.24,-0.11,-1.46
2019,Indiana,18,39.768623,-86.162643,MC,12808724,497273,3.88,-0.52,3.73,27403,5.51,-0.11,5.51
2019,Iowa,19,41.591087,-93.603729,MC,4474296,212901,4.76,0.18,,114222,53.65,13.74,
2019,Kansas,20,39.048191,-95.677956,MC,3198626,106184,3.32,-1.23,-4.04,8212,7.73,-1.77,-2.35
2019,Kentucky,21,38.186722,-84.875374,MC,21408371,652157,3.05,-0.54,-2.23,17371,2.66,-0.31,-1.73
2019,Louisiana,22,30.457069,-91.187393,MC,18269563,612460,3.35,-0.67,-4.23,13666,2.23,0.24,-0.81
2019,Maine,23,44.307167,-69.781693,MC,0,0,,,,0,,,
